stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding
41,Roosevelt - Dir. La Merced,"Anillo Periférico y Calzada Roosevelt, zona 11. En dirección a La Merced.",14.6262217,-90.5582728,0,,America/Guatemala,1
42,Roosevelt - Dir. USAC Periférico,"Anillo Periférico y Calzada Roosevelt, zona 11. En dirección a USAC Periférico.",14.6260413,-90.5590093,0,,America/Guatemala,1
43,San Juan - Dir. La Merced,"Anillo Periférico entre 4ª y 6ª calles, zona 7. En dirección a La Merced.",14.6302399834828,-90.5547440705257,0,,America/Guatemala,1
44,San Juan - Dir. USAC Periférico,"Anillo Periférico 6ª calle, zona 7. En dirección a USAC Periférico.",14.630420404221,-90.5549736206426,0,,America/Guatemala,1
45,Ciudad de Plata II - Dir. La Merced,"Anillo Periférico y 14 calle, zona 7. En dirección a La Merced.",14.6383064353791,-90.5505560315283,0,,America/Guatemala,1
46,Ciudad de Plata II - Dir. USAC Periférico,"Anillo Periférico y 13 calle ""B"", zona 7. En dirección a USAC Periférico.",14.6384895,-90.5507534,0,,America/Guatemala,1
47,Villa Linda - Dir. La Merced,"Anillo Periférico y 16 calle, zona 7. En dirección a La Merced.",14.6413304,-90.5462549,0,,America/Guatemala,1
48,Villa Linda - Dir. USAC Periférico,"Anillo Periférico y 16 calle, zona 7. En dirección a USAC Periférico.",14.6422299395508,-90.545502811598,0,,America/Guatemala,1
49,4 de febrero - Dir. La Merced,"Anillo Periférico 6ª calle, zona 7. En dirección a La Merced.",14.6449184,-90.5396663,0,,America/Guatemala,1
50,4 de febrero - Dir. USAC Periférico,"Anillo Periférico y 22 calle, zona 7. En dirección a USAC Periférico.",14.6445073011811,-90.5408252639238,0,,America/Guatemala,1
51,Bethania - Dir. USAC Periférico,"Anillo Periférico y 13 avenida, zona 7. En dirección a USAC Periférico.",14.645890505753,-90.5368125077084,0,,America/Guatemala,1
52,Incienso - Dir. La Merced,"Anillo Periférico y Puente El Incienso, zona 7. En dirección a La Merced.",14.6487105736621,-90.5309661734456,0,,America/Guatemala,1
53,Incienso - Dir. USAC Periférico,"Anillo Periférico y Puente El Incienso, zona 7. En dirección a USAC Periférico.",14.6487935888532,-90.5313982057181,0,,America/Guatemala,1
54,San Juan de Dios,"9ª calle y 2ª avenida, zona 1.",14.6412303,-90.5188899,0,,America/Guatemala,1
55,Pasaje Aycinena,"9ª calle y 7ª avenida, zona 1.",14.640319,-90.5130679,0,,America/Guatemala,1
56,La Merced,"11 avenida y 4ª calle, zona 1.",14.6434701,-90.5079253,0,,America/Guatemala,1
57,Cruz Roja,"4ª calle y 8ª avenida, zona 1.",14.6442404741971,-90.5109447792921,0,,America/Guatemala,1
58,Archivo General,"4ª avenida y 7ª calle, zona 1.",14.6424335106193,-90.515695217523,0,,America/Guatemala,1
59,Santuario de Guadalupe,"8ª calle y 1ª avenida, zona 1.",14.6420881,-90.5193033,0,,America/Guatemala,1
60,Bethania - Dir. Colón,"Anillo Periférico y 25 calle, zona 7. En dirección a Colón.",14.6455512,-90.5365946,0,,America/Guatemala,1
61,Plaza Municipal,"6ª avenida y 21 calle, zona 1.",14.6275976,-90.5158099,0,,America/Guatemala,1
62,Plaza Barrios,"9ª avenida y 18 calle, zona 1.",14.6301613,-90.5122639,0,,America/Guatemala,1
63,Plaza El Amate,"18 calle y 4ª avenida, zona 1.",14.6313317,-90.5168364,0,,America/Guatemala,1
64,Don Bosco,"1ª avenida y 26 calle, zona 1. En dirección a Centra Sur y Plaza Barrios.",14.6250611,-90.522144,0,,America/Guatemala,1
65,Bolívar - Dir. Plaza Barrios,"Avenida Bolívar y 32 calle, zona 8. En dirección a Plaza Barrios.",14.6190615,-90.5278149,0,,America/Guatemala,1
66,Bolívar - Dir. Centra Sur,"Avenida Bolívar y 31 calle, zona 3. En dirección a Centra Sur.",14.6198422,-90.5272527,0,,America/Guatemala,1
67,Santa Cecilia,"Avenida Bolívar y 40 calle, zona 8. En dirección a Centra Sur y Plaza Barrios.",14.6145729,-90.5331221,0,,America/Guatemala,1
68,Trébol,"Calzada Aguilar Batres y avenida Bolívar, zona 12.",14.612670046,-90.5357210388,0,,America/Guatemala,1
69,Mariscal - Dir. Centra Sur,"Calzada Aguilar Batres y 13 calle, zona 12. En dirección a Centra Sur.",14.6057486,-90.5440659,0,,America/Guatemala,1
70,Mariscal - Dir. Plaza Barrios,"Calzada Aguilar Batres y 15 calle, zona 12. En dirección a Plaza Barrios.",14.6047193435,-90.545098575,0,,America/Guatemala,1
71,Reformita - Dir. Centra Sur,"Calzada Aguilar Batres y 20 calle, zona 12. En dirección a Centra Sur.",14.6023915,-90.5480005,0,,America/Guatemala,1
72,Reformita - Dir. Plaza Barrios,"Calzada Aguilar Batres y 21 calle, zona 12. En dirección a Plaza Barrios.",14.6010261598,-90.5496040842,0,,America/Guatemala,1
73,El Carmen,"Calzada Aguilar Batres y 29 calle, zona 12. En dirección a Centra Sur y Plaza Barrios.",14.5963309,-90.555506,0,,America/Guatemala,1
74,Las Charcas - Dir. Centra sur,"Calzada Aguilar Batres y 32 calle, zona 12. En dirección a Centra Sur.",14.5934766,-90.5584882,0,,America/Guatemala,1
75,Las Charcas - Dir. Plaza Barrios,"Calzada Aguilar Batres y 34 calle, zona 12. En dirección a Plaza Barrios.",14.5924201,-90.5590068,0,,America/Guatemala,1
76,Javier,"Calzada Aguilar Batres y 38 calle, zona 12 Villa Nueva. En dirección a Centra Sur y Plaza Barrios.",14.5869636,-90.5628031,0,,America/Guatemala,1
77,Monte María,"Calzada Aguilar Batres y 46 calle, zona 12 Villa Nueva. En dirección a Centra Sur y Plaza Barrios.",14.5806311,-90.5679521,0,,America/Guatemala,1
78,Centra Sur,"21 avenida final, zona 12 Villa Nueva.",14.5644738,-90.5637593,0,,America/Guatemala,1
79,4 Grados Sur,"6ª avenida y 24 calle, zona 4.",14.6243445,-90.5163994,0,,America/Guatemala,1
80,Exposición ,"6ª avenida y ruta 6, zona 4.",14.6192992,-90.5171929,0,,America/Guatemala,1
81,Terminal,"6ª avenida y 2ª calle, zona 9.",14.6135586,-90.518269,0,,America/Guatemala,1
82,Industria,"6ª avenida y 6ª calle, zona 9.",14.6093975,-90.5190426,0,,America/Guatemala,1
83,Tívoli,"6ª avenida y 10ª calle, zona 9.",14.6044945,-90.520057,0,,America/Guatemala,1
84,Montúfar,"6ª avenida y 13 calle, zona 9.",14.6005326,-90.5207722,0,,America/Guatemala,1
85,Acueducto,"Avenida Hincapié y 4ª calle, zona 13.",14.5936001,-90.5217228,0,,America/Guatemala,1
86,Fuerza Aérea,"Avenida Hincapié y 11 calle, zona 13.",14.5875859,-90.5233684,0,,America/Guatemala,1
87,Hangares,"15 avenida y 18 calle, zona 13.",14.5800731,-90.5243845,0,,America/Guatemala,1
88,Plaza Argentina,"15 avenida y 11 calle, zona 13.",14.585852,-90.5225374,0,,America/Guatemala,1
89,Los Arcos,"15 avenida y 4ª calle, zona 13.",14.5920665,-90.520798,0,,America/Guatemala,1
90,Plaza España,"7ª avenida y 13 calle, zona 9.",14.5997194,-90.5191374,0,,America/Guatemala,1
91,IGSS Zona 9,"7ª avenida y 10ª calle, zona 9.",14.6040911,-90.5183364,0,,America/Guatemala,1
92,Seis 26,"7ª avenida y 5ª calle, zona 9.",14.6092,-90.5173721,0,,America/Guatemala,1
93,Torre del Reformador,"7ª avenida y 1ª calle, zona 9.",14.6141275,-90.5164141,0,,America/Guatemala,1
94,Plaza de la República,"7ª avenida y ruta 4, zona 4.",14.6196137,-90.5154943,0,,America/Guatemala,1
95,Cantón Exposición,"7ª avenida Ruta 2 y Vía 3, zona 4.",14.62237,-90.5151466,0,,America/Guatemala,1
96,Banco de Guatemala,"7ª avenida y 22 calle, zona 1.",14.6261688,-90.514641,0,,America/Guatemala,1
97,Tipografía,"18 calle y 7ª avenida, zona 1.",14.6308822,-90.5143715,0,,America/Guatemala,1
98,El Calvario,"6ª avenida y 21 calle, zona 1.",14.6301984,-90.5155676,0,,America/Guatemala,1
99,Plaza Berlín,"Plaza Berlín y Avenida Las Américas, zona 13.",14.569946,-90.526851,0,,America/Guatemala,1
100,Juan Pablo II,"Avenida Las Américas y 21 calle, zona 13.",14.574241,-90.524253,0,,America/Guatemala,1
101,Plaza Argentina,"15 avenida y 11 calle, zona 13.",14.585852,-90.522537,0,,America/Guatemala,1
102,Atlántida,"11 avenida (Bulevar Álvaro Arzú), zona 18. En dirección a Plaza Barrios/FEGUA.",14.6510493,-90.4779899,0,,America/Guatemala,1
103,Portales,KM. 4.5 Carretera al Atlántico 3-20<br>Ciudad de Guatemala.,14.6487306,-90.4819879,0,,America/Guatemala,1
104,Victorias,"Avenida Las Victorias y 3ª calle, zona 6. En dirección a Atlántida y Plaza Barrios/FEGUA.",14.6484275,-90.4934376,0,,America/Guatemala,1
105,San Martín - Dir. Atlántida,"1ª calle y 18 avenida, zona 1. En dirección a Atlántida.",14.6452716,-90.4967263,0,,America/Guatemala,1
106,Cerro del Carmen - Líneas 6 y 18,1a calle y 13 avenida entre zona 1 y 2. Línea 18 en dirección hacia Atlántida.,14.6481245,-90.5049112,0,,America/Guatemala,1
107,Colón - Líneas 6 y 18,"11 avenida y 8ª calle, zona 1.",14.639986,-90.5083689,0,,America/Guatemala,1
108,Francos Monroy - Líneas 6 y 18,"11 avenida y 15 calle, zona 1.",14.6326444,-90.5093697,0,,America/Guatemala,1
109,Plaza Barrios/FEGUA - Líneas 6 y 18,"18 calle y 9ª avenida, zona 1.",14.6305281,-90.5116328,0,,America/Guatemala,1
